InvoiceID,ClientID,ClientName,PaymentTerms,CreditLimit,ProjectID,ProjectName,Sector,Region,InvoiceAmount,InvoiceDate,DueDate,PaidDate,Status,DaysOverdue,DaysToCollect,AgingBucket,IsOverdue,MonthYear,Quarter,Year,PaymentVariance
1194,202,SNB Bank - Division 7,30,12504946.73,695,Sports Arena - Phase 1-202,Energy,DAMMAM,80924.0,2026-02-03,2026-03-05,,Pending,-30,,Current (0-30),False,2026-02,2026Q1,2026,
4619,212,SABIC - Division 8,30,13429796.25,735,Sports Arena - Phase 5-212,Energy,YANBU,60852.0,2026-02-03,2026-03-05,2026-02-03,Paid,-30,0.0,Current (0-30),False,2026-02,2026Q1,2026,-30.0
5706,44,Saudi Electricity - Division 2,30,4272173.82,162,Smart City - Phase 2-44,Infrastructure,ABHA,14056.0,2026-02-03,2026-03-05,2026-02-03,Paid,-30,0.0,Current (0-30),False,2026-02,2026Q1,2026,-30.0
7075,112,SNB Bank - Division 4,30,8742972.97,389,Highway Expansion - Phase 1-112,Technology,ABHA,23174.0,2026-02-03,2026-03-05,,Pending,-30,,Current (0-30),False,2026-02,2026Q1,2026,
8793,67,ACWA Power - Division 3,30,4372485.4,241,Residential Complex - Phase 3-67,Technology,DAMMAM,93028.0,2026-02-03,2026-03-05,,Pending,-30,,Current (0-30),False,2026-02,2026Q1,2026,
8830,53,Alinma Bank - Division 2,30,6112118.94,191,Residential Complex - Phase 2-53,Defense,MECCA,190983.0,2026-02-03,2026-03-05,,Pending,-30,,Current (0-30),False,2026-02,2026Q1,2026,
10905,200,Diriyah Gate - Division 7,60,11190803.27,687,Port Upgrade - Phase 2-200,Aviation,ABHA,158033.0,2026-02-03,2026-04-04,,Pending,-60,,Current (0-30),False,2026-02,2026Q1,2026,
13463,140,Diriyah Gate - Division 5,60,9283592.29,482,Solar Farm - Phase 5-140,Telecom,YANBU,20210.0,2026-02-03,2026-04-04,,Pending,-60,,Current (0-30),False,2026-02,2026Q1,2026,
13298,156,Qiddiya - Division 6,45,10522465.69,533,Sports Arena - Phase 1-156,Defense,TABUK,80418.0,2026-02-02,2026-03-19,,Pending,-44,,Current (0-30),False,2026-02,2026Q1,2026,
13339,32,SABIC - Division 2,30,4159354.97,118,University Campus - Phase 2-32,Telecom,TABUK,177859.0,2026-02-02,2026-03-04,,Pending,-29,,Current (0-30),False,2026-02,2026Q1,2026,
11634,223,Al Rajhi Bank - Division 8,30,14551964.13,772,Logistics Hub - Phase 2-223,Technology,JUBAIL,81669.0,2026-02-02,2026-03-04,2026-02-03,Paid,-29,1.0,Current (0-30),False,2026-02,2026Q1,2026,-29.0
10864,216,Qiddiya - Division 8,45,11438763.45,749,Logistics Hub - Phase 4-216,Transport,ABHA,199710.0,2026-02-02,2026-03-19,,Pending,-44,,Current (0-30),False,2026-02,2026Q1,2026,
9172,33,STC - Division 2,45,3819185.21,122,Telecom Network - Phase 2-33,Telecom,RIYADH,160194.0,2026-02-02,2026-03-19,,Pending,-44,,Current (0-30),False,2026-02,2026Q1,2026,
9370,226,Riyadh Metro - Division 8,30,12727031.58,785,Commercial Tower - Phase 2-226,Water,TABUK,114339.0,2026-02-02,2026-03-04,,Pending,-29,,Current (0-30),False,2026-02,2026Q1,2026,
10147,27,SAFCO - Division 1,45,4229164.58,106,Water Treatment - Phase 1-27,Technology,NEOM,70093.0,2026-02-02,2026-03-19,,Pending,-44,,Current (0-30),False,2026-02,2026Q1,2026,
14055,80,Diriyah Gate - Division 3,60,4864478.63,290,Entertainment District - Phase 4-80,Aviation,DAMMAM,111456.0,2026-02-02,2026-04-03,,Pending,-59,,Current (0-30),False,2026-02,2026Q1,2026,
14107,65,Red Sea Global - Division 3,60,3936591.6,236,Smart City - Phase 5-65,Aviation,ABHA,131216.0,2026-02-02,2026-04-03,,Pending,-59,,Current (0-30),False,2026-02,2026Q1,2026,
14144,209,Zamil Industrial - Division 7,30,13412697.43,721,Industrial Zone - Phase 1-209,Energy,JEDDAH,36836.0,2026-02-02,2026-03-04,2026-02-03,Paid,-29,1.0,Current (0-30),False,2026-02,2026Q1,2026,-29.0
8709,39,Almarai - Division 2,45,4572287.05,147,Railway Extension - Phase 5-39,Telecom,ABHA,39347.0,2026-02-02,2026-03-19,2026-02-03,Paid,-44,1.0,Current (0-30),False,2026-02,2026Q1,2026,-44.0
8422,202,SNB Bank - Division 7,30,12504946.73,695,Sports Arena - Phase 1-202,Energy,DAMMAM,166531.0,2026-02-02,2026-03-04,,Pending,-29,,Current (0-30),False,2026-02,2026Q1,2026,
7069,209,Zamil Industrial - Division 7,30,13412697.43,721,Industrial Zone - Phase 1-209,Energy,JEDDAH,112997.0,2026-02-02,2026-03-04,,Pending,-29,,Current (0-30),False,2026-02,2026Q1,2026,
5822,214,NEOM Company - Division 8,30,13597533.02,740,Smart City - Phase 3-214,Defense,YANBU,108679.0,2026-02-02,2026-03-04,,Pending,-29,,Current (0-30),False,2026-02,2026Q1,2026,
5598,101,Zain KSA - Division 4,30,7346542.91,356,Solar Farm - Phase 1-101,Real Estate,YANBU,124955.0,2026-02-02,2026-03-04,2026-02-03,Paid,-29,1.0,Current (0-30),False,2026-02,2026Q1,2026,-29.0
1281,22,SNB Bank - Division 1,30,2841491.76,86,Sports Arena - Phase 5-22,Aviation,MECCA,102147.0,2026-02-02,2026-03-04,2026-02-03,Paid,-29,1.0,Current (0-30),False,2026-02,2026Q1,2026,-29.0
2096,177,SAFCO - Division 6,45,11278091.09,602,Entertainment District - Phase 2-177,Water,MECCA,27334.0,2026-02-02,2026-03-19,,Pending,-44,,Current (0-30),False,2026-02,2026Q1,2026,
264,196,Riyadh Metro - Division 7,30,11912126.84,674,Solar Farm - Phase 3-196,Defense,DAMMAM,54797.0,2026-02-02,2026-03-04,2026-02-03,Paid,-29,1.0,Current (0-30),False,2026-02,2026Q1,2026,-29.0
470,106,Riyadh Metro - Division 4,30,6768710.59,373,Smart City - Phase 4-106,Transport,ABHA,119287.0,2026-02-02,2026-03-04,,Pending,-29,,Current (0-30),False,2026-02,2026Q1,2026,
802,127,ACWA Power - Division 5,30,7674774.11,447,Hospital Complex - Phase 4-127,Defense,TABUK,90235.0,2026-02-02,2026-03-04,,Pending,-29,,Current (0-30),False,2026-02,2026Q1,2026,
3906,22,SNB Bank - Division 1,30,2841491.76,86,Sports Arena - Phase 5-22,Aviation,MECCA,119948.0,2026-02-02,2026-03-04,,Pending,-29,,Current (0-30),False,2026-02,2026Q1,2026,
3798,232,SNB Bank - Division 8,30,13552501.56,809,Smart City - Phase 1-232,Telecom,MADINAH,117102.0,2026-02-01,2026-03-03,2026-02-03,Paid,-28,2.0,Current (0-30),False,2026-02,2026Q1,2026,-28.0
4343,205,Tasnee - Division 7,60,11646770.5,708,Residential Complex - Phase 2-205,Energy,DAMMAM,125447.0,2026-02-01,2026-04-02,,Pending,-58,,Current (0-30),False,2026-02,2026Q1,2026,
2951,3,STC - Division 1,45,2204556.73,11,Residential Complex - Phase 1-3,Defense,YANBU,173792.0,2026-02-01,2026-03-18,,Pending,-43,,Current (0-30),False,2026-02,2026Q1,2026,
6782,103,Al Rajhi Bank - Division 4,30,5795999.06,362,Metro Line - Phase 1-103,Defense,ABHA,181818.0,2026-02-01,2026-03-03,,Pending,-28,,Current (0-30),False,2026-02,2026Q1,2026,
7630,95,Red Sea Global - Division 4,60,7095216.67,337,Residential Complex - Phase 4-95,Energy,MECCA,145756.0,2026-02-01,2026-04-02,2026-02-03,Paid,-58,2.0,Current (0-30),False,2026-02,2026Q1,2026,-58.0
7659,152,SABIC - Division 6,30,10305310.69,524,Smart City - Phase 3-152,Aviation,TABUK,92287.0,2026-02-01,2026-03-03,2026-02-03,Paid,-28,2.0,Current (0-30),False,2026-02,2026Q1,2026,-28.0
9084,4,NEOM Company - Division 1,30,2593839.71,17,Railway Extension - Phase 2-4,Healthcare,ABHA,67525.0,2026-02-01,2026-03-03,,Pending,-28,,Current (0-30),False,2026-02,2026Q1,2026,
9991,116,Yanbu Petrochemical - Division 4,30,8846918.56,404,Data Center - Phase 4-116,Aviation,JUBAIL,118690.0,2026-02-01,2026-03-03,2026-02-03,Paid,-28,2.0,Current (0-30),False,2026-02,2026Q1,2026,-28.0
12049,31,Saudi Aramco - Division 2,30,2422455.75,116,Highway Expansion - Phase 2-31,Telecom,TABUK,158087.0,2026-02-01,2026-03-03,,Pending,-28,,Current (0-30),False,2026-02,2026Q1,2026,
12080,189,Almarai - Division 7,45,10320777.2,650,Airport Terminal - Phase 3-189,Real Estate,MADINAH,23466.0,2026-01-31,2026-03-17,2026-02-03,Paid,-42,3.0,Current (0-30),False,2026-01,2026Q1,2026,-42.0
12012,21,ROSHN Group - Division 1,45,2390225.99,79,Water Treatment - Phase 3-21,Real Estate,MECCA,198557.0,2026-01-31,2026-03-17,,Pending,-42,,Current (0-30),False,2026-01,2026Q1,2026,
